  0000100002                                                物料主数据                                                                                                                               
  0000100003                                                供应商主数据维护                                                                                                                            
  0000100004                                                信息记录                                                                                                                                
  0000100005                                                框架协议                                                                                                                                
  0000100006                                                货源清单                                                                                                                                
  0000100007                                                采购申请                                                                                                                                
  0000100008                                                采购订单                                                                                                                                
  0000100009                                                库存管理                                                                                                                                
  0000100010                                                销售发货                                                                                                                                
  0000100011                                                查看库存                                                                                                                                
  0000100012                                                盘点                                                                                                                                  
  0000100013                                                MRP相关                                                                                                                               
TR0000200081MM03                                            显示物料                                                                                                                              
TR0000200082MM04                                            显示物料改变凭证                                                                                                                            
TR0000200015MM60                                            物料清单                                                                                                                                
TR0000300016XK01                                            供应商的创建                                                                                                                              
TR0000300017XK02                                            供应商的更改                                                                                                                             
TR0000300018XK03                                            供应商的显示                                                                                                                              
TR0000300019XK05                                            供应商的冻结                                                                                                                              
TR0000300020MKVZ                                            采购清单显示                                                                                                                              
TR0000300021XK06                                            供应商做删除                                                                                                                              
TR0000400022ME11                                            采购信息记录                                                                                                                              
TR0000400023ME12                                            采购信息记录                                                                                                                              
TR0000400024ME13                                            采购信息记录                                                                                                                              
TR0000400025ME1L                                            按供应商显示                                                                                                                              
TR0000500026ME31K                                           创建合同                                                                                                                               
TR0000500093ME32K                                           更改合同                                                                                                                                
TR0000500027ME3N                                            查看框架协议                                                                                                                              
TR0000600029ME01                                            维护货源清单                                                                                                                              
TR0000600030ME03                                            显示货源清单                                                                                                                              
TR0000600031ME04                                            修改货源清单                                                                                                                              
TR0000700087ME51N                                           创建采购申请                                                                                                                              
TR0000700086ME52N                                           更改采购申请                                                                                                                              
TR0000700085ME53N                                           显示采购申请                                                                                                                              
TR0000700035ME54N                                           单独审批采购                                                                                                                              
TR0000700036ME55                                            集中审批采购                                                                                                                              
TR0000700037ME5A                                            采购申请清单                                                                                                                              
TR0000700038ME57                                            为未分配货源                                                                                                                              
TR0000800088ME21N                                           创建采购订单                                                                                                                              
TR0000800090ME22N                                           更改采购订单                                                                                                                              
TR0000800091ME23N                                           显示采购订单                                                                                                                              
TR0000800092ME29N                                           批准采购订单                                                                                                                              
TR0000800043ME28                                            集中审批采购                                                                                                                              
TR0000800089ME2L                                            采购订单清单(按供应商)                                                                                                                        
TR0000800045ME2M                                            采购订单清单(按物料号)                                                                                                                        
TR0000900083MIGO                                            货物移动                                                                                                                                
TR0000900047MB02                                            修改物料凭证                                                                                                                              
TR0000900048MB03                                            显示物料凭证                                                                                                                              
TR0000900049MBST                                            冲销物料凭证                                                                                                                              
TR0000900050MSC1N                                           创建批次                                                                                                                               
TR0000900051MSC2N                                           修改批次                                                                                                                               
TR0000900052MSC3N                                           显示批次                                                                                                                               
TR0000900084MB51                                            物料凭证清单                                                                                                                              
TR0001000055VL09                                            取消发货过帐                                                                                                                              
TR0001000054VL06O                                           销售交货清单                                                                                                                              
TR0001000094VL02N                                           更改出库交货                                                                                                                              
TR0001000057VL03N                                           显示销售发货                                                                                                                              
TR0001100095MMBE                                            库存概览                                                                                                                                
TR0001100096ME2O                                            转包库存监控(供应商)                                                                                                                         
TR0001100060MB52                                            仓库库存                                                                                                                                
TR0001100061MB5T                                            在途库存                                                                                                                                
TR0001100062MBLB                                            外协加工商的库存                                                                                                                            
TR0001100063MB5B                                            计帐日期库存                                                                                                                              
TR0001100064MB5M                                            到期日清单                                                                                                                               
TR0001100065MBBS                                            计价特殊库存                                                                                                                              
TR0001100066CS03                                            查询BOM                                                                                                                               
TR0001200067MI01                                            库存盘点凭证的创建                                                                                                                           
TR0001200068MB52                                            仓库库存                                                                                                                                
TR0001200069MI09                                            输入没有凭证参考                                                                                                                            
TR0001200070MI03                                            库存盘点凭证的显示                                                                                                                           
TR0001200071MI04                                            库存盘点的输入                                                                                                                             
TR0001200072MI20                                            差异清单                                                                                                                                
TR0001200073MI07                                            库存盘点 差额 过帐                                                                                                                          
TR0001200074MI22                                            显示物料的库存盘点凭证                                                                                                                         
TR0001200075MI31                                            创建库存盘点凭证(无特殊库存)                                                                                                                     
TR0001300076MM02                                            修改物料                                                                                                                                
TR0001300077MM03                                            显示物料号                                                                                                                               
TR0001300078MD02                                            运行MRP，查看物料                                                                                                                          
TR0001300079MD04                                            仓库库存需求清单                                                                                                                            
TR0001300080MD07                                            库存/汇总显示需求                                                                                                                           
